Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,W-L%,ERA,H,HR,BB,SO,BF,BR,GmSc,RE24,aLI,Player-additional
Dennis Blair,MON,5/26/74,1974-09-18 (2),0.3,140,10,7,21,0.588,3.28,109,7,70,72,597,194,55,8.14,1.07,blairde01
Brad Penny,FLA,4/7/00,9/16/00,0.3,107.2,6,7,20,0.462,4.76,107,12,56,70,477,171,48,-2.8,1.04,pennybr01
Reese Olson,DET,6/2/23,9/26/23,0.3,103.2,5,7,18,0.417,3.99,83,14,33,103,422,124,52,7,0.87,olsonre01
Michael Mimbs,PHI,5/6/95,8/8/95,0.3,103.2,7,5,16,0.583,4.34,97,7,56,67,461,167,49,0.72,1.14,mimbsmi01
Jeff Weaver,DET,4/14/99,8/5/99,0.3,119.2,6,8,21,0.429,5.11,121,19,37,81,515,175,48,-2.28,1,weaveje01
Logan Allen,CLE,4/23/23,9/2/23,0.3,112.1,6,7,21,0.462,3.77,111,15,41,107,478,158,52,4.94,1.01,allenlo02
Bob Stanley,BOS,4/16/77,1977-07-21 (2),0.3,106.2,6,5,13,0.545,4.22,125,9,30,28,464,169,44,5.13,0.98,stanlbo01
Antonio Senzatela,COL,4/6/17,8/2/17,0.3,105.1,10,4,17,0.714,4.7,97,17,35,79,437,138,49,2.4,0.87,senzaan01
Ángel Miranda,MIL,6/5/93,9/29/93,0.3,119.2,4,5,17,0.444,3.23,99,12,51,88,499,159,56,11.95,1.03,miranan01
Jim Gott,TOR,4/9/82,1982-08-08 (1),0.2,104.2,3,7,16,0.3,4.04,102,12,44,69,458,155,49,1.3,0.93,gottji01
Brett Anderson,OAK,4/10/09,8/9/09,0.2,121.2,7,8,21,0.467,4.22,122,14,35,98,513,167,50,0.87,0.91,anderbr04
Kenshin Kawakami,ATL,4/11/09,8/8/09,0.2,118,5,9,21,0.357,4.12,112,14,49,84,511,170,50,-0.31,1.04,kawakke01
Vladimir Gutierrez,CIN,5/28/21,9/20/21,0.2,111.1,9,6,21,0.6,4.53,110,20,42,85,480,159,49,2.96,0.99,gutievl01
Eric Milton,MIN,4/5/98,7/29/98,0.2,122.1,6,7,21,0.462,4.63,126,18,43,69,529,176,48,2.9,0.97,miltoer01
Mike Maroth,DET,6/8/02,9/29/02,0.2,128.2,6,10,21,0.375,4.48,136,7,36,58,538,180,48,2.03,1.03,marotmi01
Merrill Kelly,ARI,4/1/19,7/23/19,0.2,119.1,7,10,21,0.412,4.22,120,19,31,96,502,154,51,0.49,0.88,kellyme01
Mark Gubicza,KCR,4/6/84,8/14/84,0.1,142,8,9,21,0.471,3.55,120,8,56,83,593,187,55,10.15,0.94,gubicma01
Masato Yoshii,NYM,4/5/98,7/31/98,0.1,123.2,4,6,21,0.4,3.78,115,18,41,84,520,169,52,7.51,0.98,yoshima01
Mike Leake,CIN,4/11/10,8/9/10,0.1,129.2,7,4,21,0.636,3.75,141,15,44,80,556,196,50,-0.74,0.96,leakemi01
Brandon Williamson,CIN,5/16/23,9/17/23,0.1,106.2,4,5,21,0.444,4.56,102,16,36,93,449,144,49,1.83,1.04,willibr02
Tony Saunders,FLA,4/5/97,9/24/97,0,105.1,4,6,20,0.4,4.27,91,10,62,94,456,162,51,0.28,1.14,saundto01
Claudio Vargas,MON,4/26/03,9/17/03,0,110.1,6,8,19,0.429,4.49,110,16,40,60,478,160,48,2.14,1,vargacl01
Travis Driskill,BAL,4/26/02,8/19/02,0,105.2,8,6,16,0.571,4.77,122,18,37,61,468,167,45,-2.63,0.95,drisktr01
Lary Sorensen,MIL,6/7/77,9/17/77,0,129.1,6,9,18,0.4,4.11,126,8,33,53,532,166,53,4.61,0.88,sorenla01
Sean Marshall,CHC,4/9/06,9/7/06,0,112.2,5,9,21,0.357,5.27,115,17,50,69,495,176,46,-5.15,1.01,marshse01
Pete Falcone,SFG,1975-04-13 (2),7/30/75,0,121.2,7,7,20,0.5,3.85,102,10,65,78,519,175,52,-0.53,1.09,falcope01
Hunter Greene,CIN,4/10/22,2022-09-17 (2),0,108.2,4,12,21,0.25,4.97,96,23,41,138,463,148,52,-2.67,0.99,greenhu01
Sean Manaea,OAK,4/29/16,8/29/16,0,120.2,5,9,20,0.357,4.4,120,19,32,104,505,164,51,-1.23,0.99,manaese01
Kyle Bradish,BAL,4/29/22,9/22/22,0,110.1,4,7,21,0.364,4.65,112,16,37,103,468,159,49,-6.54,0.94,bradiky01
Carlos Rodón,CHW,4/21/15,8/22/15,-0.1,106.2,5,5,18,0.5,4.22,106,9,58,114,473,174,51,-4.71,1.1,rodonca01
Roenis Elías,SEA,4/3/14,7/27/14,-0.1,123.1,8,8,21,0.5,4.31,112,14,45,110,518,167,52,-5.7,0.97,eliasro01
John Thomson,COL,5/11/97,8/27/97,-0.1,129.1,6,8,21,0.429,4.59,143,7,42,83,556,196,48,2.24,1.01,thomsjo01
Bret Saberhagen,KCR,4/4/84,7/20/84,-0.1,100.2,4,8,11,0.333,3.4,93,8,20,42,410,122,49,2.47,0.86,saberbr01
Ervin Santana,LAA,5/17/05,9/22/05,-0.2,121,10,8,21,0.556,4.69,125,17,45,86,531,181,48,-2.24,1.02,santaer01
Tyler Chatwood,LAA,4/11/11,8/6/11,-0.2,123,6,8,21,0.429,4.1,130,9,59,66,533,199,48,-6.3,0.97,chatwty01
Josh Towers,BAL,5/2/01,8/29/01,-0.2,122.2,8,8,17,0.5,4.11,140,18,13,48,508,165,49,6.33,0.93,towerjo01
Teddy Higuera,MIL,4/23/85,1985-08-04 (1),-0.2,121.1,8,6,19,0.571,4.9,108,13,37,78,507,153,49,-6.08,1.02,higuete01
Donovan Osborne,STL,4/9/92,7/28/92,-0.2,117.2,7,6,20,0.538,3.9,125,12,26,68,494,160,51,-9.06,1.02,osbordo01
Pat Underwood,DET,5/31/79,9/1/79,-0.2,108.1,6,4,15,0.6,4.98,119,15,27,71,460,149,49,-4.92,0.96,underpa01
Brian Meadows,FLA,4/4/98,7/23/98,-0.2,121,9,7,21,0.563,4.24,140,12,31,57,522,176,47,-3.52,0.97,meadobr01
Rick Matula,ATL,4/8/79,8/3/79,-0.2,127,6,8,21,0.429,3.83,143,10,46,53,552,204,48,-4.74,1.03,matulri01
Mitchell Parker,WSN,4/15/24,8/9/24,-0.2,112.2,6,6,21,0.5,3.83,106,14,29,92,468,139,52,-0.99,0.91,parkemi01
Andrew Suárez,SFG,4/11/18,8/14/18,-0.2,116.2,4,8,21,0.333,4.4,123,17,29,100,484,155,50,-4.41,0.96,suarean01
Paul Thormodsgard,MIN,1977-04-10 (2),1977-07-17 (1),-0.3,126,7,6,21,0.538,3.79,129,13,37,53,528,176,50,2.36,0.87,thormpa01
Hiroki Kuroda,LAD,4/4/08,8/2/08,-0.3,124,6,8,21,0.429,4.21,127,11,31,75,532,168,50,-4.06,1.02,kurodhi01
Chris Welsh,SDP,4/12/81,9/21/81,-0.3,120.1,6,6,18,0.5,3.44,115,8,40,50,494,163,52,2.95,0.97,welshch01
Logan Gilbert,SEA,5/13/21,9/13/21,-0.3,101.1,5,5,21,0.5,4.97,101,15,22,115,432,133,50,-4.48,0.91,gilbelo01
David Williams,PIT,6/6/01,9/29/01,-0.3,109.1,3,7,17,0.3,3.7,96,14,44,55,454,152,51,4.71,0.98,willida07
Dinelson Lamet,SDP,5/25/17,9/26/17,-0.3,114.1,7,8,21,0.467,4.57,88,18,54,139,485,153,53,-2.95,0.95,lametdi01
Yu Darvish,TEX,4/9/12,8/6/12,-0.3,134,11,8,21,0.579,4.57,121,12,74,154,598,210,52,-8.62,0.93,darviyu01
Dave Freisleben,SDP,4/26/74,7/31/74,-0.4,121.1,7,6,19,0.538,3.86,120,8,57,78,532,191,51,-1.37,1.09,freisda01
Spencer Arrighetti,HOU,4/10/24,8/10/24,-0.4,105,5,10,21,0.333,5.14,102,15,50,129,463,158,50,-8.81,0.94,arrigsp01
Bill Swift,SEA,6/7/85,9/18/85,-0.4,110.2,5,9,19,0.357,4.88,123,8,42,45,489,175,44,-10.08,1.01,swiftbi02
Roger Clemens,BOS,5/15/84,8/31/84,-0.4,133.1,9,4,20,0.692,4.32,146,13,29,126,575,182,52,2.44,0.87,clemero02
Seth Greisinger,DET,6/3/98,9/26/98,-0.4,130,6,9,21,0.4,5.12,142,17,48,66,562,198,45,-4.61,0.94,greisse01
Butch Henry,HOU,4/9/92,7/31/92,-0.4,119.1,3,7,21,0.3,4.37,136,9,35,69,524,177,48,-9.79,1.03,henrybu01
Jonathan Cannon,CHW,2024-04-17 (1),9/16/24,-0.4,113.1,4,10,19,0.286,4.61,118,17,36,81,480,161,48,-2.13,0.9,cannojo02
Trevor Richards,MIA,4/2/18,9/4/18,-0.4,102.2,3,8,21,0.273,4.73,100,12,49,105,450,154,49,-7.25,0.99,richatr01
Mike O'Connor,WSN,4/27/06,9/28/06,-0.4,105,3,8,20,0.273,4.8,96,15,45,59,455,151,48,-0.94,1.06,oconnmi01
Jake Irvin,WSN,5/3/23,9/1/23,-0.5,107.2,3,5,21,0.375,4.35,105,18,44,88,469,159,49,-1.84,0.96,irvinja01
Bob Walk,PHI,5/26/80,9/4/80,-0.5,121,10,4,21,0.714,4.76,132,5,58,72,540,193,47,-13.31,1.06,walkbo01
