Rk,Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,SV,BSv,CG,SHO,GF,IP,Dec,W-L%,ERA,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,GmSc,Pit,Str,WPA,RE24,IR,IS,aLI,DFS(DK),DFS(FD),Ind. Games Link,Player-additional
88,Charles Hudson,PHI,1983-05-31,1983-09-05,0.4,138.1,7,7,21,0,0,2,0,0,138.1,14,.500,3.51,137,59,54,5,12,40,6,85,0,2,4,575,181,53,,,0.4,3.61,,,0.96,,,Games List,hudsoch02
89,Greg Smith,OAK,2008-04-09,2008-07-29,0.4,127.0,5,10,21,0,0,2,0,0,127.0,15,.333,4.04,108,60,57,3,15,56,3,84,3,0,4,530,171,52,2064,1241,0.4,9.29,,,0.94,,,Games List,smithgr02
90,René Arocha,STL,1993-04-09,1993-08-10,0.4,128.0,10,3,19,0,0,1,0,0,128.0,13,.769,3.52,133,54,50,4,13,16,0,65,3,1,2,524,159,53,1733,1139,0.4,6.82,0,0,0.98,,,Games List,arochre01
91,Chase Anderson,ARI,2014-05-11,2014-09-19,0.4,114.1,9,7,21,0,0,0,0,0,114.1,16,.563,4.01,117,56,51,5,16,40,2,105,2,0,4,486,160,51,1892,1218,0.4,-3.74,,,0.89,,,Games List,anderch01
92,Ron Romanick,CAL,1984-04-05,1984-07-20,0.3,152.2,9,9,21,0,0,6,1,0,152.2,18,.500,3.77,150,70,64,6,13,42,3,56,2,0,2,640,201,52,,,0.3,5.91,,,1.01,,,Games List,romanro01
93,Clayton Kershaw,LAD,2008-05-25,2008-09-24,0.3,106.2,5,5,21,0,0,0,0,0,106.2,10,.500,4.30,107,51,51,0,11,51,2,100,1,0,7,465,162,50,1846,1125,0.3,0.44,,,0.99,,,Games List,kershcl01
94,Joe Kelly,STL,2012-06-10,2012-09-25,0.3,103.0,5,7,16,0,0,0,0,2,103.0,12,.417,3.58,110,49,41,8,9,35,2,73,3,0,4,442,153,49,1630,1033,0.3,-1.35,2,1,1.04,,,Games List,kellyjo05
95,Taylor Jungmann,MIL,2015-06-09,2015-10-01,0.3,119.1,9,8,21,0,0,1,0,0,119.1,17,.529,3.77,106,55,50,5,11,47,1,107,8,0,8,501,164,53,2045,1262,0.3,1.85,,,1.03,,,Games List,jungmta01
96,Dennis Blair,MON,1974-05-26,1974-09-18 (2),0.3,140.0,10,7,21,0,0,4,1,0,140.0,17,.588,3.28,109,58,51,7,7,70,4,72,5,2,4,597,194,55,94,62,0.3,8.14,,,1.07,,,Games List,blairde01
97,Brad Penny,FLA,2000-04-07,2000-09-16,0.3,107.2,6,7,20,0,0,0,0,0,107.2,13,.462,4.76,107,63,57,6,12,56,4,70,4,1,4,477,171,48,1900,1111,0.3,-2.80,0,0,1.04,,,Games List,pennybr01
98,Reese Olson,DET,2023-06-02,2023-09-26,0.3,103.2,5,7,18,0,0,0,0,0,103.2,12,.417,3.99,83,49,46,3,14,33,0,103,1,1,4,422,124,52,1743,1099,0.3,7.00,0,0,0.87,297.05,536.00,Games List,olsonre01
99,Michael Mimbs,PHI,1995-05-06,1995-08-08,0.3,103.2,7,5,16,0,0,2,1,2,103.2,12,.583,4.34,97,55,50,5,7,56,0,67,6,0,6,461,167,49,1584,891,0.3,0.72,5,1,1.14,,,Games List,mimbsmi01
100,Jeff Weaver,DET,1999-04-14,1999-08-05,0.3,119.2,6,8,21,0,0,0,0,0,119.2,14,.429,5.11,121,71,68,3,19,37,1,81,13,0,0,515,175,48,1958,1222,0.3,-2.28,,,1.00,,,Games List,weaveje01
101,Logan Allen,CLE,2023-04-23,2023-09-02,0.3,112.1,6,7,21,0,0,0,0,0,112.1,13,.462,3.77,111,49,47,2,15,41,0,107,1,0,1,478,158,52,1888,1209,0.3,4.94,,,1.01,304.95,581.00,Games List,allenlo02
102,Bob Stanley,BOS,1977-04-16,1977-07-21 (2),0.3,106.2,6,5,13,1,1,3,1,2,106.2,11,.545,4.22,125,56,50,6,9,30,1,28,3,0,2,464,169,44,,,0.3,5.13,11,2,0.98,,,Games List,stanlbo01
103,Antonio Senzatela,COL,2017-04-06,2017-08-02,0.3,105.1,10,4,17,0,0,0,0,2,105.1,14,.714,4.70,97,57,55,2,17,35,1,79,4,2,1,437,138,49,1330,833,0.3,2.40,0,0,0.87,,,Games List,senzaan01
